rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
0,-0.02,-0.92,0.9099293736613823,0.04871129022544096,-0.9244959977302187,0.9999983063175129
1,0.1,1.18,0.915047910143214,0.14722639641934165,1.2998472750398378,0.9999988348116144
2,-0.4,0.0,0.8767244784706433,-0.6254415496430568,0.13190569225946547,0.9999990406250957
3,-0.22,-0.6599999999999999,0.9120346832253974,-0.3667957102406376,-0.8600326232233755,0.9999983769580415
4,0.0,0.02,0.9746649001978831,0.07087372230577671,0.06918263851909501,0.9999945070483429
5,-1.44,-0.94,0.9349165422290955,-1.7004575478899682,-1.1231188115800705,0.9999987346166789
6,-1.0,1.1,0.9562505118266066,-1.072638155957435,1.2407323803161319,0.9999978775855378
7,-0.02,-0.5,0.9602617255750944,0.03719297547098677,-0.5830378809612426,0.999988840783671
8,-0.46,0.0,0.8323117551591206,-0.5075911544442846,0.06588312995850742,0.9999994667365271
9,-0.12,0.18,0.9662883518875041,-0.14521261783851003,0.3014640349036313,0.9999910249269482
0,-0.14,-0.72,0.8806301243575592,0.15381634838922764,-0.5402048426009998,0.9999989364661516
1,-0.06,-0.8,0.9793919631130484,-0.13460528237159508,-0.8293889399525511,0.9999882508233733
2,-0.34,-0.06,0.9592440101160289,-0.43768215970290214,-0.05569200506313621,0.9999912039128309
3,0.12,0.88,0.8918346911218173,0.784399853011422,0.4697629847913163,0.9999989270329153
4,0.12,-0.14,0.835414488341863,-0.9151429419565318,-0.2506770177913893,0.9999997121028142
5,-0.04,-0.36,0.9103874801201013,-0.04673463501791275,-0.484784774497939,0.9999986077992552
6,-0.2,-0.44,0.8932138018701523,-0.3377460000131123,-0.5110401025173701,0.9999984610454895
7,0.0,-0.52,0.8878114154519556,0.10681193726574634,-0.7892126570022668,0.9999989256278375
8,-0.18,0.08,0.8927274912587262,-0.4742321387008701,0.6750611257726007,0.9999982960844006
9,-0.3,0.02,0.9530719511703885,-0.4545411959663852,0.12848042936806792,0.9999940660450256
0,-0.02,-0.04,0.9903786759760047,-0.04323748823613016,-0.009429451616185247,0.999984590587214
1,-0.42000000000000004,-0.38,0.922941592635474,-0.5838412485407929,-0.20930942133776398,0.999998475701351
2,-0.12,-0.14,0.9719481154167264,-0.21298460705800437,-0.17892559778469774,0.9999912947937392
3,-0.06,-0.52,0.952555700497078,-0.13715108004360843,-0.4899457829408078,0.9999896899832487
4,0.1,-0.02,0.945961921560958,0.3588794076962074,-0.03348319998399063,0.9999974168775398
5,1.0,0.86,0.9535877911145338,1.1784739278959933,0.9195669351279321,0.999997407657694
6,-0.38,-0.14,0.8877797501891365,-0.568493871583371,-0.11530222108093824,0.999999148802534
7,0.08,-0.54,0.9305990678667728,0.18516521239581607,-0.6014195079715705,0.9999976084002459
8,-1.1400000000000001,-1.08,0.873682028004868,2.0060176780010295,0.8625270049768403,0.99999935639501
9,-0.36,-0.22,0.897370341869963,-0.5223697813348451,-0.17897261411314958,0.9999985598146078
10,-0.16,-0.2,0.9614669448437405,-0.31045364576424106,-0.1793791235169806,0.9999952775408134
11,-0.26,-0.1,0.9066194022947451,-0.2536478380336291,-0.1194883100597508,0.9999987470611936
12,0.96,-0.8200000000000001,0.9493624384280188,1.1985044190980148,-0.8364907788150333,0.9999960852547373
13,-0.06,0.04,0.9328324011071951,-0.13463948859035213,0.24718226142704225,0.9999987871985091
14,-0.02,-0.5800000000000001,0.9056745753254505,-0.05440094861910438,-0.7854241064750767,0.9999987076832346
15,0.9,-0.5800000000000001,0.8461696433304362,1.1990742931139664,-0.3627957875363137,0.9999995810750879
16,-0.2,-0.64,0.9458886779426277,-0.2768910072044548,-0.6200602482755784,0.9999949537053426
17,-0.4,-0.2,0.8820792401856685,0.02751164944629636,-0.10280879324388081,0.9999992490325427
18,-0.2,-0.1,0.9669084380335503,-0.27358820574001186,-0.0818460104731571,0.9999952957297267
19,-0.08,0.02,0.9864888672341927,-0.12922655956300844,0.03662250050584248,0.9999850003213093
20,0.16,-0.9,0.8749232291446567,0.45339494918076184,-1.0136799768445002,0.9999993152763166
21,-0.2,0.0,0.8868166023733834,-0.34625804539894034,0.03634933551805375,0.9999990361539818
22,0.0,0.0,0.986294128161302,-0.022320126454729916,0.05234671475193409,0.9999901921469826
23,-0.08,-0.2,0.9543894369998623,-0.08967057562168179,-0.28823926497361185,0.9999956980015192
24,-0.06,-0.06,0.9822060911039414,-0.14499559951693186,-0.07980174869111067,0.9999885652221386
25,-0.74,-1.34,0.8954622326853208,-0.7226209105488266,-1.5211696237739147,0.9999988546629404
26,0.1,-0.16,0.8374282167451671,0.9245245324540861,-1.2439218532192342,0.9999994562055962
27,-0.06,0.46,0.9708455463853802,-0.09133832407127329,0.6989524855413265,0.9999911445276891
28,-0.04,1.2,0.9458463406334734,-0.09935274505917846,1.278030147269675,0.9999976773361173
30,-0.98,0.64,0.9435452935412396,-1.0289555894954816,0.8812460368699533,0.9999983830659518
31,-0.04,-0.32,0.9628561316772046,-0.11599112339095541,-0.34097765182228557,0.9999910230465185
32,0.02,-0.16,0.948962915149165,-0.04353715905789102,-0.23385735931829288,0.9999963127032234
33,0.12,0.24,0.907086173756435,0.5236958881422424,0.5742378253904405,0.9999977983887034
34,-0.16,-0.2,0.8790685914490846,-0.26588260463752533,-0.1973226850548997,0.999999108420593
35,-0.24,-0.08,0.9627311882999019,-0.360618344805431,-0.07621674482125229,0.9999915247855704
36,0.92,0.12,0.8975252486885372,0.8917425164608517,0.20836457781263107,0.9999989258500556
37,-0.12,-2.2,0.9492696555182347,-0.20403401124954712,1.796620922914542,0.9999978858882075
39,-0.38,0.08,0.9508180624543136,-0.4152492421901286,0.1822081027645197,0.9999936493757304
40,-0.26,0.18,0.9122418033297388,-0.3729324360969173,0.3575222549689556,0.9999981990706552
41,-0.94,-0.3,0.8114391561543888,-1.274011140962756,-0.3383770042066203,0.9999995861813817
42,-0.1,-0.18,0.9610425849008296,-0.1321177872388688,-0.16386728081039337,0.9999958183325841
43,-0.08,-0.54,0.9577866372443304,-0.1423577358211361,-0.6421849374079613,0.9999959101746962
44,-0.06,0.12,0.890859365302362,-0.19866519895593626,0.14815859286883892,0.9999989514018116
45,-0.08,-0.6,0.8572020428125409,0.3957595231656228,-0.9079895389451877,0.9999996967530079
46,-0.9,-1.16,0.9209154451715154,-1.1385960945474238,-1.315936183444549,0.9999986452715889
47,-0.04,-0.16,0.9474470610480907,0.01201927228163413,-0.20480098492431864,0.9999967606150478
48,-1.42,0.34,0.9191211679946025,-1.6747926726400948,0.5079255238711653,0.9999975867809152
49,-0.36,-0.18,0.9481669767733735,-0.49806468842466245,-0.15612901104992716,0.9999934251185811
50,-0.5,-0.7,0.8833007642554034,-0.6301734644060417,-0.6721520809279724,0.9999991109159213
51,-0.52,-0.44,0.9343100754217183,-0.5630753380719824,-0.4046604589027538,0.9999952624383864
52,-0.08,-0.54,0.9618786287735979,-0.1470547531329629,-0.6176712233353214,0.9999886776626684
53,-0.76,0.04,0.9673829233860841,-0.7285987608633633,0.042897385755821915,0.9999935662757179
54,0.6599999999999999,-0.46,0.9475590395035816,0.7730781392592689,-0.4116671564977423,0.9999953476096797
55,-0.5,-0.14,0.9487088822934588,-0.6030701451398102,-0.09635171359720118,0.9999972983130109
56,-0.38,-0.22,0.8944170343967912,-0.44646578624291067,-0.2074233410366162,0.999998927686865
57,-0.02,-0.1,0.9263455153908354,-0.04692181958698427,-0.2009378164152622,0.9999980434003339
58,-1.1,-1.16,0.949348338980812,-1.2389914398508495,-1.2793429141834878,0.9999947227944851
59,0.06,-1.28,0.9180124500300171,0.08446914076324674,-1.322724365863209,0.9999988533428346
60,0.04,-0.1,0.9827490760573943,0.12716109426725097,-0.09194753047236759,0.9999869109032262
61,-0.16,-0.46,0.9419231263900101,-0.2290635690322631,-0.46165643627367103,0.9999947641668478
62,-0.44,0.84,0.9266707874636739,-0.7145812968304597,1.0364780014842552,0.9999985988143145
63,0.26,-0.2,0.8632311921385996,0.5546046757511647,0.003224099174502726,0.9999995122730021
64,-0.14,-0.6,0.8885533151401668,-0.39973058134786754,-0.5954377695770461,0.9999986515304153
65,-0.74,-1.56,0.8369052511815835,-0.8192331441558025,-0.8125979644923262,0.9999997662731269
66,-0.48,-0.62,0.9343935085251888,-0.5496656249413405,-0.6058870480058118,0.9999938204832264
67,-0.98,-0.64,0.9618121147010902,-1.120202066428405,-0.7026941372824496,0.9999935879906043
68,-0.02,-0.52,0.9657399581472773,0.007885194120433425,-0.6193514355699534,0.9999883154811382
69,0.4,-1.02,0.8775792917732719,0.4723133634317094,-1.171481858082501,0.9999991635168826
70,0.04,0.14,0.9615908151486403,0.05773654495024516,0.2632092113598503,0.9999960440412149
71,-0.28,-0.06,0.9495179676760961,-0.39829814288130194,0.05345680903491257,0.9999958015125866
72,-0.44,-0.12,0.9439395957280547,-0.48556737163315233,-0.12317486444717929,0.9999961873914579
73,-0.06,-0.16,0.9710996418215461,-0.12254593769036148,-0.13760011154191432,0.9999952428433168
74,-0.12,-2.0,0.9526319268985913,-0.12088497044456403,-2.0616970066377576,0.9999974441268665
75,-0.12,-0.2,0.866214661508697,-0.21936234220375184,-0.1436828750590422,0.9999992442489294
76,-0.12,-0.5,0.8983766001227517,-0.1176138490436216,-0.3972481119064213,0.9999987951387466
77,-0.52,-0.34,0.8611295056561157,-0.7114756155424402,-0.20110811297013242,0.9999995499820388
78,-0.06,-1.44,0.8593715139335936,0.7060892858488899,-1.9893767165494864,0.9999997525113066
79,0.06,-0.18,0.9718354216645418,0.17094049860031646,-0.1845994439618437,0.9999914589079303
80,0.04,-0.8200000000000001,0.9024013301701312,0.17774188994783913,-0.7898935269915484,0.9999983437770661
81,-0.48,-0.58,0.860513017996233,-0.9636729678503144,-0.7093230856237511,0.9999993894724257
82,-0.2,-0.44,0.9312094180691588,-0.1958235266992574,-0.5328844337213496,0.9999974219879115
83,-0.4,-0.08,0.9558121143291791,-0.45656115317477486,-0.010674437998574149,0.999994227385417
84,-0.1,-0.56,0.955336020653371,-0.23083627293928544,-0.6205058498561158,0.9999895386395159
85,-0.02,-0.16,0.9090733372517973,-0.09298124093334081,-0.1905141459502886,0.999998896992539
86,-0.78,-0.62,0.9597003782084939,-0.77207304378544,-0.6754335623631107,0.9999925496058931
87,-0.16,-0.92,0.8912405920792146,-0.21548473378973654,-1.0886950120725345,0.9999989389396966
88,-0.52,-0.24,0.9260766714831794,-0.5757545086740237,-0.26784642234962064,0.9999974145639928
89,-0.02,0.04,0.9230638610114138,-0.09640550871290543,0.14469762831080857,0.9999978319275287
90,0.1,-0.1,0.9203468164633154,0.1995324333214512,-0.021392336357891395,0.9999985146146522
91,-0.94,-1.06,0.9773524403324882,-0.9533728498832801,-1.1720006909138476,0.9999905607579045
92,0.1,-0.86,0.9578982404122283,0.28904329684468166,-0.9136044951958269,0.9999958083553985
93,-0.12,-0.26,0.8733762998049974,-0.07459223989086183,-0.38273567960240484,0.9999992409144897
94,0.08,-0.5800000000000001,0.9509675296697495,0.23505058908853016,-0.6115927201094422,0.9999923524745801
95,-0.06,-0.88,0.9854134360859105,-0.09804041099839367,-0.9337398888661426,0.99998580532392
96,0.84,1.08,0.9521988525189335,1.0600602160214692,1.1623049702917285,0.9999980539728005
97,-0.12,-0.54,0.9160950943869509,-0.13465556307298243,-0.7085988974101127,0.999998469600755
98,0.8200000000000001,0.8200000000000001,0.9676913152428884,0.8473671173616424,0.9157821886486204,0.9999959447685297
99,-0.12,-0.02,0.98271694555168,-0.1849930696680815,0.01512375871826066,0.9999863206849993
